,School Code,Enrollment Percent_Low-Income,Enrollment Percent_SoC,SBA ELA 3Y Average Percent_Low-Income,SBA ELA 3Y Average Percent_SoC,SBA Math 3Y Average Percent_Low-Income,SBA Math 3Y Average Percent_SoC,Component 1,Component 2,Component 3,Segment KMeans PCA,Segment,SchoolCode,School Name,LEANameForCharterComparison,Lat,Lon
1630,4558,0.5370370370370371,0.0,0.43689322006422704,0.0,0.292682926829268,0.0,-0.5799414357779477,-0.36585634597604105,-0.13373000448112696,3,fourth,4558,Orcas Island Middle School,Orcas Island School District,48.698811757082,-122.901914723726
1631,4559,0.8065395095367848,0.779291553133515,0.637795294748,0.61290326004346,0.18333333333333302,0.18285715229268,-0.013034898437019805,0.454074479108043,-0.1878031510323691,1,second,4559,Highland High School,Highland School District,46.67106,-120.71141
1632,4560,0.304857621440536,0.40871021775544386,0.393442632792554,0.669211176515536,0.340983627594085,0.59475217335977,0.3555000029322911,-0.06505108714807804,0.0914952429672539,2,third,4560,Illahee Elementary School,Evergreen School District (Clark),45.62111221625,-122.474456823725
1633,4561,0.33178438661710036,0.4758364312267658,0.42626264167554495,0.621096468815557,0.37145748612693497,0.600995723914193,0.3435222429997311,-0.0055274782033228565,0.05734615178501641,2,third,4561,Shahala Middle School,Evergreen School District (Clark),45.6171112936461,-122.475663950957
1634,4562,0.0,0.5017421602787456,0.0,0.528169028273274,0.0,0.626760566785586,0.24560932989731887,-0.07170966935063838,0.6964245129477366,4,fifth,4562,Chloe Clark Elementary,Steilacoom Hist. School District,47.0973041626557,-122.639511968156
1635,4563,0.13319672131147542,0.32786885245901637,0.6363636363636359,0.8029197135168001,0.5050504857843571,0.7924528301886791,0.6874672677794701,-0.25035194071037403,-0.049357477009176746,2,third,4563,Prune Hill Elem,Camas School District,45.5911064839345,-122.455412796995
1636,4564,0.9409395973154362,0.9449664429530201,0.27035027072418305,0.272635313737374,0.175455891118572,0.178878215807044,-0.3292088848754521,0.6931491875423128,-0.006318147074322493,1,second,4564,Ellen Ochoa Middle School,Pasco School District,46.2447371325916,-119.07314
1637,4565,0.0,0.5852156057494866,0.0,0.8995326425594209,0.0,0.9017467281642491,0.6653952162658205,0.03949035566625282,0.7099710354698306,2,third,4565,Cascade Ridge Elementary,Issaquah School District,47.5904052320571,-121.973619768102
1638,4567,0.13090909090909092,0.2590909090909091,0.702127659574468,0.833333333333333,0.505000038337709,0.7029702970297029,0.6562641129108774,-0.3213199493286557,-0.10268254322383445,2,third,4567,Camas High School,Camas School District,45.6108416352535,-122.396304253216
1639,4568,0.1633587786259542,0.0,0.684931462825319,0.0,0.28888889948527,0.0,-0.40857556864439953,-0.5990982463109413,-0.0525236391488959,3,fourth,4568,Hockinson High School,Hockinson School District,45.7375053459251,-122.499542742063
1640,4569,0.2884297520661157,0.17603305785123968,0.5355648866139461,0.5972222089767459,0.24267783999512,0.385416656732559,0.15841394981937004,-0.2972809647847986,0.014077513829319451,0,first,4569,White River High School,White River School District,47.14841,-122.07208
1641,4570,0.5749674054758801,0.7001303780964798,0.448577712197259,0.504032288952252,0.15151514847312803,0.22617125567980104,-0.040924969685520375,0.29207382163942547,0.06085882199683629,1,second,4570,Todd Beamer High School,Federal Way School District,47.2786016195242,-122.310524143732
1642,4571,0.36117936117936117,0.4004914004914005,0.300469492522764,0.411167528614007,0.265116288477566,0.34170852002825297,-0.018409756932682788,-0.05530604854114085,0.15167285439930614,0,first,4571,Northern Heights Elementary Schl,Bellingham School District,48.7864432336988,-122.420808344545
1643,4573,0.31443298969072164,0.30584192439862545,0.5190839397901009,0.545454556581519,0.4712643678160921,0.537634388093025,0.27385625631747795,-0.1860035482602763,-0.07393734783914227,2,third,4573,Pioneer Elementary,Arlington School District,48.1636257543397,-122.121319075434
1644,4574,0.5254629629629629,0.2523148148148148,0.41761829364069203,0.507812469964848,0.331158233970113,0.41634243965423295,0.0490446811516845,-0.10312666147864993,-0.08396843620226761,0,first,4574,Mt. Solo Middle School,Longview School District,46.1631826798892,-123.024986743533
1645,4575,0.8038585209003215,0.747588424437299,0.34388185654008396,0.375613738573796,0.22823034732755101,0.262899262899263,-0.17398383424293706,0.45454544457864227,-0.04037824651175017,1,second,4575,Angelo Giaudrone Middle School,Tacoma School District,47.2121810700627,-122.45855198274
1646,4576,0.41092636579572445,0.332541567695962,0.532467532467532,0.438596474496942,0.398268390011478,0.333333341698898,0.042372134950558644,-0.1287736014623082,-0.09570855877884363,0,first,4576,Cougar Creek Elementary School,Lakewood School District,48.15192,-122.20901
1647,4577,0.30120481927710846,0.35943775100401604,0.51111110051473,0.49668875426965103,0.47794117585185497,0.516556304440437,0.2425066954258951,-0.15251789052196804,-0.0514535537057229,0,first,4577,Michael Anderson Elementary,Medical Lake School District,47.6311022092749,-117.659179104542
1648,4578,0.5235849056603774,0.3333333333333333,0.489130451007692,0.547892734922212,0.279220779220779,0.32824425797078804,0.03989438229875944,-0.0458469175813465,-0.08075306789763391,0,first,4578,Cougar Mountain Middle School,Bethel School District,47.0200921780189,-122.361771869629
1649,4579,0.4364326375711575,0.3377609108159393,0.47368422171493396,0.526066331689253,0.43653251805101795,0.521327013446862,0.2005673621702904,-0.08825948538285744,-0.09583919209162711,0,first,4579,York Elementary School,Evergreen School District (Clark),45.6898352916644,-122.516193687475
1650,4581,0.7478108581436077,0.7443082311733801,0.521978000557491,0.571865431759336,0.5198902710965629,0.545871559633027,0.23851755334646318,0.40355445443074905,-0.25868235853855426,1,second,4581,Millennium Elementary School,Kent School District,47.3596516250857,-122.181274017117
1651,4582,0.4506283662477558,0.5457809694793537,0.43888889948527,0.541208758905248,0.31111110051473,0.39892183080548493,0.1332591177030877,0.1004859454684153,0.02598928623628907,0,first,4582,Columbia Junior High School,Fife School District,47.2315445714286,-122.356788048497
1652,4583,0.6770833333333334,0.7170138888888888,0.38639876620311797,0.432692307692308,0.302003100520179,0.33012819290161105,-0.036301402792150286,0.3584275522328076,-0.03347216944131804,1,second,4583,Odyssey Elementary,Mukilteo School District,47.8795097268702,-122.256044996542
1653,4585,0.28149190710767064,0.258972554539057,0.6723549402739469,0.650306740282369,0.26712328069181895,0.28834357088109003,0.18365062022931672,-0.25623508910465276,-0.05523170037575569,0,first,4585,Bonney Lake High School,Sumner School District,47.1580856619954,-122.163856499747
1654,4586,0.7168874172185431,0.48013245033112584,0.35373011404339905,0.32038835629506,0.254606371548907,0.228848825925043,-0.23871009268007182,0.17777796037381813,-0.06803927419326414,1,second,4586,Olympic Middle School,Shelton School District,47.2279288763078,-123.116639010817
